timestamp,energy_kwh,temperature_c,occupancy,equipment_load_kw
2026-08-01 00:00:00,14.79,20.8,3.0,14.05
2026-08-01 01:00:00,16.15,20.7,0.0,15.34
2026-08-01 02:00:00,14.21,17.7,2.0,13.5
2026-08-01 03:00:00,14.16,16.3,2.0,13.45
2026-08-01 04:00:00,11.79,17.6,3.0,11.2
2026-08-01 05:00:00,14.23,19.2,1.0,13.52
2026-08-01 06:00:00,16.42,19.7,2.0,15.6
2026-08-01 07:00:00,13.41,22.0,0.0,12.74
2026-08-01 08:00:00,15.58,23.7,4.0,14.8
2026-08-01 09:00:00,15.26,26.7,1.0,14.49
2026-08-01 10:00:00,14.55,28.0,3.0,13.82
2026-08-01 11:00:00,12.36,30.3,2.0,11.74
2026-08-01 12:00:00,16.33,32.2,2.0,15.52
2026-08-01 13:00:00,14.54,32.1,3.0,13.81
2026-08-01 14:00:00,13.21,32.6,4.0,12.55
2026-08-01 15:00:00,16.19,35.0,4.0,15.38
2026-08-01 16:00:00,14.55,33.8,3.0,13.82
2026-08-01 17:00:00,14.22,34.4,1.0,13.51
2026-08-01 18:00:00,14.25,30.8,7.0,13.53
2026-08-01 19:00:00,14.51,29.3,4.0,13.78
2026-08-01 20:00:00,15.52,25.4,1.0,14.74
2026-08-01 21:00:00,14.75,26.5,3.0,14.01
2026-08-01 22:00:00,12.49,23.9,2.0,11.87
2026-08-01 23:00:00,18.69,22.1,1.0,17.76
2026-08-02 00:00:00,15.45,20.2,3.0,14.68
2026-08-02 01:00:00,16.13,20.2,3.0,15.32
2026-08-02 02:00:00,18.29,18.9,2.0,17.37
2026-08-02 03:00:00,16.31,19.7,0.0,15.49
2026-08-02 04:00:00,15.1,16.7,3.0,14.35
2026-08-02 05:00:00,14.52,18.3,6.0,13.79
2026-08-02 06:00:00,14.69,20.0,5.0,13.96
2026-08-02 07:00:00,16.83,22.6,1.0,15.98
2026-08-02 08:00:00,16.27,24.2,0.0,15.46
2026-08-02 09:00:00,13.93,26.3,0.0,13.23
2026-08-02 10:00:00,13.17,28.2,4.0,12.52
2026-08-02 11:00:00,13.77,31.2,4.0,13.08
2026-08-02 12:00:00,13.84,30.3,5.0,13.15
2026-08-02 13:00:00,15.14,35.7,3.0,14.38
2026-08-02 14:00:00,14.79,33.8,5.0,14.05
2026-08-02 15:00:00,16.11,33.9,6.0,15.3
2026-08-02 16:00:00,13.13,33.9,3.0,12.47
2026-08-02 17:00:00,13.29,33.0,5.0,12.62
2026-08-02 18:00:00,15.77,32.2,9.0,14.98
2026-08-02 19:00:00,14.64,29.2,1.0,13.91
2026-08-02 20:00:00,12.2,30.4,2.0,11.59
2026-08-02 21:00:00,14.5,25.1,4.0,13.77
2026-08-02 22:00:00,14.02,24.0,5.0,13.32
2026-08-02 23:00:00,16.28,21.3,1.0,15.46
2026-08-03 00:00:00,16.3,20.8,2.0,15.48
2026-08-03 01:00:00,12.58,19.4,6.0,11.95
2026-08-03 02:00:00,14.27,16.8,2.0,13.56
2026-08-03 03:00:00,17.81,17.8,1.0,16.92
2026-08-03 04:00:00,14.84,17.0,4.0,14.1
2026-08-03 05:00:00,12.85,20.5,3.0,12.2
2026-08-03 06:00:00,14.1,20.5,0.0,13.39
2026-08-03 07:00:00,15.19,22.6,4.0,14.43
2026-08-03 08:00:00,75.35,23.8,125.9,71.58
2026-08-03 09:00:00,77.85,25.4,117.9,73.96
2026-08-03 10:00:00,88.61,27.5,128.5,84.18
2026-08-03 11:00:00,94.8,29.3,129.0,90.06
2026-08-03 12:00:00,101.33,32.5,126.3,96.26
2026-08-03 13:00:00,106.73,32.4,127.5,101.39
2026-08-03 14:00:00,114.08,33.7,121.2,108.38
2026-08-03 15:00:00,107.12,33.4,125.5,101.76
2026-08-03 16:00:00,111.59,33.5,131.0,106.01
2026-08-03 17:00:00,109.18,33.7,133.1,103.72
2026-08-03 18:00:00,105.48,32.3,116.9,100.21
2026-08-03 19:00:00,97.93,29.9,121.0,93.03
2026-08-03 20:00:00,18.14,27.3,3.0,17.23
2026-08-03 21:00:00,15.94,26.6,1.0,15.15
2026-08-03 22:00:00,13.98,24.0,3.0,13.29
2026-08-03 23:00:00,14.15,22.4,2.0,13.45
2026-08-04 00:00:00,15.31,19.9,2.0,14.54
2026-08-04 01:00:00,12.89,17.6,5.0,12.24
2026-08-04 02:00:00,17.21,18.6,2.0,16.35
2026-08-04 03:00:00,14.99,17.7,1.0,14.24
2026-08-04 04:00:00,16.16,19.5,5.0,15.35
2026-08-04 05:00:00,16.48,19.1,2.0,15.65
2026-08-04 06:00:00,15.75,20.4,6.0,14.96
2026-08-04 07:00:00,16.46,21.9,2.0,15.64
2026-08-04 08:00:00,64.28,21.8,114.7,61.07
2026-08-04 09:00:00,90.03,26.2,123.4,85.53
2026-08-04 10:00:00,88.98,29.0,114.2,84.53
2026-08-04 11:00:00,105.05,30.5,106.8,99.8
2026-08-04 12:00:00,99.07,32.8,115.3,94.12
2026-08-04 13:00:00,115.94,34.3,118.9,110.14
2026-08-04 14:00:00,103.49,32.1,114.0,98.31
2026-08-04 15:00:00,112.66,34.0,115.5,107.02
2026-08-04 16:00:00,105.79,32.7,118.6,100.5
2026-08-04 17:00:00,103.55,33.4,127.1,98.37
2026-08-04 18:00:00,97.76,30.1,132.8,92.87
2026-08-04 19:00:00,93.84,29.3,135.5,89.15
2026-08-04 20:00:00,15.1,29.2,4.0,14.35
2026-08-04 21:00:00,16.32,27.5,1.0,15.5
2026-08-04 22:00:00,17.17,22.2,5.0,16.31
2026-08-04 23:00:00,15.5,23.0,4.0,14.72
2026-08-05 00:00:00,14.95,20.7,3.0,14.2
2026-08-05 01:00:00,13.59,19.4,3.0,12.91
2026-08-05 02:00:00,15.76,17.3,1.0,14.97
2026-08-05 03:00:00,13.81,17.5,1.0,13.12
2026-08-05 04:00:00,13.45,18.2,2.0,12.77
2026-08-05 05:00:00,15.06,19.0,2.0,14.31
2026-08-05 06:00:00,14.67,20.2,3.0,13.94
2026-08-05 07:00:00,11.55,21.7,4.0,10.97
2026-08-05 08:00:00,77.85,24.8,110.1,73.96
2026-08-05 09:00:00,85.71,27.0,110.3,81.42
2026-08-05 10:00:00,91.34,29.6,95.4,86.77
2026-08-05 11:00:00,92.64,29.1,118.1,88.01
2026-08-05 12:00:00,94.99,30.6,113.5,90.24
2026-08-05 13:00:00,108.66,32.6,122.2,103.23
2026-08-05 14:00:00,109.24,34.8,126.5,103.78
2026-08-05 15:00:00,114.05,34.0,143.7,108.34
2026-08-05 16:00:00,105.95,33.3,135.8,100.65
2026-08-05 17:00:00,98.67,32.3,134.0,93.74
2026-08-05 18:00:00,95.21,29.7,129.4,90.45
2026-08-05 19:00:00,95.49,30.1,116.4,90.72
2026-08-05 20:00:00,14.06,27.6,1.0,13.36
2026-08-05 21:00:00,14.18,25.2,2.0,13.47
2026-08-05 22:00:00,14.92,24.2,1.0,14.18
2026-08-05 23:00:00,16.13,21.4,4.0,15.33
2026-08-06 00:00:00,13.86,21.3,2.0,13.16
2026-08-06 01:00:00,15.07,17.4,2.0,14.32
2026-08-06 02:00:00,15.4,17.1,2.0,14.63
2026-08-06 03:00:00,14.42,17.1,2.0,13.7
2026-08-06 04:00:00,16.14,17.7,5.0,15.33
2026-08-06 05:00:00,15.13,19.2,1.0,14.38
2026-08-06 06:00:00,17.37,20.8,3.0,16.5
2026-08-06 07:00:00,14.52,21.7,5.0,13.8
2026-08-06 08:00:00,71.17,23.7,133.0,67.61
2026-08-06 09:00:00,70.82,23.8,130.5,67.28
2026-08-06 10:00:00,82.76,26.5,120.2,78.62
2026-08-06 11:00:00,99.26,30.8,128.9,94.3
2026-08-06 12:00:00,99.36,30.8,122.9,94.39
2026-08-06 13:00:00,106.64,33.5,111.3,101.31
2026-08-06 14:00:00,114.69,34.2,132.5,108.96
2026-08-06 15:00:00,111.9,34.1,115.1,106.31
2026-08-06 16:00:00,111.27,32.6,111.8,105.7
2026-08-06 17:00:00,110.97,33.3,116.5,105.42
2026-08-06 18:00:00,104.59,32.9,115.6,99.36
2026-08-06 19:00:00,97.96,29.4,129.6,93.06
2026-08-06 20:00:00,16.51,29.5,2.0,15.69
2026-08-06 21:00:00,17.24,24.2,3.0,16.38
2026-08-06 22:00:00,15.19,26.4,0.0,14.43
2026-08-06 23:00:00,15.89,23.8,4.0,15.09
2026-08-07 00:00:00,14.23,21.9,3.0,13.52
2026-08-07 01:00:00,16.64,19.1,2.0,15.81
2026-08-07 02:00:00,14.13,19.3,0.0,13.42
2026-08-07 03:00:00,12.52,17.0,4.0,11.89
2026-08-07 04:00:00,14.61,16.8,2.0,13.88
2026-08-07 05:00:00,14.92,16.4,4.0,14.17
2026-08-07 06:00:00,15.78,19.3,3.0,14.99
2026-08-07 07:00:00,15.24,22.0,1.0,14.48
2026-08-07 08:00:00,71.55,23.1,126.7,67.98
2026-08-07 09:00:00,78.11,26.2,145.7,74.21
2026-08-07 10:00:00,85.79,29.5,93.4,81.5
2026-08-07 11:00:00,92.47,28.8,108.2,87.85
2026-08-07 12:00:00,102.21,31.9,117.5,97.1
2026-08-07 13:00:00,102.79,33.5,128.3,97.65
2026-08-07 14:00:00,109.72,33.4,119.3,104.23
2026-08-07 15:00:00,107.42,33.2,119.1,102.04
2026-08-07 16:00:00,106.98,33.0,112.7,101.63
2026-08-07 17:00:00,101.58,32.8,125.0,96.5
2026-08-07 18:00:00,103.83,31.3,117.7,98.64
2026-08-07 19:00:00,93.72,29.1,122.3,89.03
2026-08-07 20:00:00,13.49,29.7,3.0,12.81
2026-08-07 21:00:00,17.65,24.3,4.0,16.76
2026-08-07 22:00:00,15.91,22.4,4.0,15.11
2026-08-07 23:00:00,14.95,23.0,2.0,14.21
2026-08-08 00:00:00,12.43,20.7,2.0,11.81
2026-08-08 01:00:00,15.15,17.8,1.0,14.39
2026-08-08 02:00:00,15.83,16.6,4.0,15.04
2026-08-08 03:00:00,16.47,18.3,4.0,15.65
2026-08-08 04:00:00,11.45,18.7,0.0,10.87
2026-08-08 05:00:00,13.91,19.6,2.0,13.22
2026-08-08 06:00:00,13.8,18.8,3.0,13.11
2026-08-08 07:00:00,14.54,24.1,3.0,13.82
2026-08-08 08:00:00,12.72,24.5,1.0,12.09
2026-08-08 09:00:00,16.48,24.3,2.0,15.66
2026-08-08 10:00:00,17.66,28.0,4.0,16.77
2026-08-08 11:00:00,16.39,28.9,2.0,15.57
2026-08-08 12:00:00,15.93,31.6,5.0,15.13
2026-08-08 13:00:00,15.69,33.8,2.0,14.9
2026-08-08 14:00:00,15.2,34.5,0.0,14.44
2026-08-08 15:00:00,16.58,32.9,8.0,15.75
2026-08-08 16:00:00,15.75,32.3,1.0,14.96
2026-08-08 17:00:00,16.92,31.9,1.0,16.07
2026-08-08 18:00:00,12.11,32.1,5.0,11.5
2026-08-08 19:00:00,15.07,30.7,5.0,14.32
2026-08-08 20:00:00,15.47,29.0,5.0,14.7
2026-08-08 21:00:00,13.79,25.7,2.0,13.1
2026-08-08 22:00:00,15.35,23.9,4.0,14.58
2026-08-08 23:00:00,13.76,21.8,4.0,13.07
2026-08-09 00:00:00,15.74,20.5,3.0,14.95
2026-08-09 01:00:00,14.17,18.4,2.0,13.46
2026-08-09 02:00:00,13.24,17.9,4.0,12.58
2026-08-09 03:00:00,12.73,18.2,2.0,12.09
2026-08-09 04:00:00,15.88,17.9,6.0,15.08
2026-08-09 05:00:00,13.8,18.9,3.0,13.11
2026-08-09 06:00:00,15.34,19.8,5.0,14.57
2026-08-09 07:00:00,17.77,22.7,8.0,16.88
2026-08-09 08:00:00,17.3,24.9,4.0,16.43
2026-08-09 09:00:00,15.22,25.8,2.0,14.46
2026-08-09 10:00:00,15.6,28.5,1.0,14.82
2026-08-09 11:00:00,12.77,30.8,5.0,12.13
2026-08-09 12:00:00,14.4,31.9,5.0,13.68
2026-08-09 13:00:00,15.61,33.1,1.0,14.83
2026-08-09 14:00:00,15.26,33.4,3.0,14.5
2026-08-09 15:00:00,14.21,34.4,0.0,13.5
2026-08-09 16:00:00,14.9,35.3,4.0,14.16
2026-08-09 17:00:00,14.73,31.7,3.0,14.0
2026-08-09 18:00:00,16.97,32.8,2.0,16.12
2026-08-09 19:00:00,14.85,30.7,3.0,14.11
2026-08-09 20:00:00,15.37,28.0,2.0,14.6
2026-08-09 21:00:00,14.66,26.1,4.0,13.92
2026-08-09 22:00:00,15.69,24.3,4.0,14.9
2026-08-09 23:00:00,15.74,23.2,2.0,14.95
2026-08-10 00:00:00,17.7,19.7,2.0,16.82
2026-08-10 01:00:00,15.85,17.5,3.0,15.05
2026-08-10 02:00:00,13.97,18.1,5.0,13.27
2026-08-10 03:00:00,14.14,18.0,1.0,13.44
2026-08-10 04:00:00,14.97,20.7,2.0,14.22
2026-08-10 05:00:00,11.94,19.3,1.0,11.34
2026-08-10 06:00:00,14.58,19.3,4.0,13.85
2026-08-10 07:00:00,13.8,22.3,1.0,13.11
2026-08-10 08:00:00,82.67,25.7,123.6,78.53
2026-08-10 09:00:00,88.74,26.7,114.2,84.3
2026-08-10 10:00:00,88.86,28.2,129.5,84.41
2026-08-10 11:00:00,109.34,31.3,124.0,103.87
2026-08-10 12:00:00,96.38,31.3,122.0,91.56
2026-08-10 13:00:00,108.91,32.4,126.2,103.47
2026-08-10 14:00:00,115.69,36.7,119.0,109.91
2026-08-10 15:00:00,114.89,34.8,108.7,109.15
2026-08-10 16:00:00,111.65,33.2,122.1,106.07
2026-08-10 17:00:00,109.35,32.8,129.3,103.89
2026-08-10 18:00:00,89.03,29.8,111.0,84.58
2026-08-10 19:00:00,110.13,32.0,118.9,104.62
2026-08-10 20:00:00,14.14,26.4,4.0,13.43
2026-08-10 21:00:00,15.59,25.4,3.0,14.81
2026-08-10 22:00:00,16.76,23.9,3.0,15.92
2026-08-10 23:00:00,12.39,23.1,3.0,11.77
2026-08-11 00:00:00,16.74,19.0,3.0,15.9
2026-08-11 01:00:00,13.08,19.1,3.0,12.42
2026-08-11 02:00:00,16.28,19.8,1.0,15.46
2026-08-11 03:00:00,18.12,17.7,5.0,17.21
2026-08-11 04:00:00,14.94,18.2,2.0,14.2
2026-08-11 05:00:00,13.45,18.9,3.0,12.78
2026-08-11 06:00:00,15.68,20.5,5.0,14.89
2026-08-11 07:00:00,15.97,21.1,3.0,15.17
2026-08-11 08:00:00,80.7,25.0,118.4,76.66
2026-08-11 09:00:00,86.8,25.1,119.7,82.46
2026-08-11 10:00:00,90.82,29.0,123.1,86.28
2026-08-11 11:00:00,98.03,30.1,122.0,93.13
2026-08-11 12:00:00,93.67,30.6,126.7,88.99
2026-08-11 13:00:00,113.14,34.6,112.3,107.49
2026-08-11 14:00:00,113.93,34.7,117.5,108.23
2026-08-11 15:00:00,116.45,35.4,125.6,110.62
2026-08-11 16:00:00,107.34,32.0,110.7,101.97
2026-08-11 17:00:00,110.79,33.5,127.2,105.25
2026-08-11 18:00:00,106.8,32.9,117.4,101.46
2026-08-11 19:00:00,85.82,29.0,107.2,81.53
2026-08-11 20:00:00,17.33,27.2,2.0,16.46
2026-08-11 21:00:00,16.51,27.6,4.0,15.69
2026-08-11 22:00:00,14.97,23.5,3.0,14.22
2026-08-11 23:00:00,16.09,24.3,4.0,15.28
2026-08-12 00:00:00,15.42,21.1,2.0,14.65
2026-08-12 01:00:00,15.83,18.9,1.0,15.04
2026-08-12 02:00:00,13.52,17.4,3.0,12.85
2026-08-12 03:00:00,16.16,19.5,2.0,15.35
2026-08-12 04:00:00,13.55,18.8,3.0,12.87
2026-08-12 05:00:00,15.66,17.5,4.0,14.88
2026-08-12 06:00:00,15.21,20.8,4.0,14.45
2026-08-12 07:00:00,17.62,20.6,4.0,16.74
2026-08-12 08:00:00,84.84,24.7,114.4,80.6
2026-08-12 09:00:00,75.97,25.2,122.4,72.17
2026-08-12 10:00:00,99.12,30.3,107.6,94.17
2026-08-12 11:00:00,95.24,29.3,116.5,90.48
2026-08-12 12:00:00,99.94,32.9,136.2,94.94
2026-08-12 13:00:00,100.44,33.2,134.6,95.42
2026-08-12 14:00:00,111.8,34.0,120.0,106.21
2026-08-12 15:00:00,99.64,33.2,105.6,94.66
2026-08-12 16:00:00,113.67,34.7,131.0,107.99
2026-08-12 17:00:00,106.63,32.4,103.8,101.3
2026-08-12 18:00:00,95.6,30.6,112.9,90.82
2026-08-12 19:00:00,95.44,29.8,112.4,90.67
2026-08-12 20:00:00,16.05,27.4,5.0,15.25
2026-08-12 21:00:00,17.92,26.7,2.0,17.02
2026-08-12 22:00:00,15.11,24.5,2.0,14.36
2026-08-12 23:00:00,15.12,21.1,6.0,14.37
2026-08-13 00:00:00,14.53,19.3,6.0,13.8
2026-08-13 01:00:00,15.54,18.5,3.0,14.77
2026-08-13 02:00:00,13.67,17.2,1.0,12.98
2026-08-13 03:00:00,16.06,18.1,3.0,15.26
2026-08-13 04:00:00,15.05,19.1,5.0,14.29
2026-08-13 05:00:00,16.75,18.6,5.0,15.91
2026-08-13 06:00:00,14.47,19.2,5.0,13.75
2026-08-13 07:00:00,14.55,24.5,3.0,13.82
2026-08-13 08:00:00,75.48,23.6,110.1,71.71
2026-08-13 09:00:00,79.6,26.1,102.0,75.62
2026-08-13 10:00:00,80.27,25.2,122.9,76.26
2026-08-13 11:00:00,88.09,29.2,125.4,83.69
2026-08-13 12:00:00,95.66,30.7,124.2,90.88
2026-08-13 13:00:00,104.39,32.9,114.4,99.17
2026-08-13 14:00:00,108.97,33.4,112.9,103.52
2026-08-13 15:00:00,104.89,33.4,120.2,99.64
2026-08-13 16:00:00,105.67,32.2,129.1,100.39
2026-08-13 17:00:00,113.42,35.2,109.6,107.75
2026-08-13 18:00:00,99.32,31.5,129.9,94.35
2026-08-13 19:00:00,90.63,28.8,132.1,86.1
2026-08-13 20:00:00,16.14,28.9,0.0,15.34
2026-08-13 21:00:00,11.11,25.4,0.0,10.56
2026-08-13 22:00:00,13.81,24.8,2.0,13.12
2026-08-13 23:00:00,15.87,22.0,2.0,15.08
2026-08-14 00:00:00,14.94,19.2,3.0,14.19
2026-08-14 01:00:00,11.59,18.2,7.0,11.01
2026-08-14 02:00:00,16.38,18.2,5.0,15.56
2026-08-14 03:00:00,15.09,16.8,3.0,14.34
2026-08-14 04:00:00,14.32,18.5,1.0,13.6
2026-08-14 05:00:00,16.95,18.3,4.0,16.1
2026-08-14 06:00:00,16.08,21.5,1.0,15.27
2026-08-14 07:00:00,13.86,23.0,2.0,13.17
2026-08-14 08:00:00,78.3,24.2,110.7,74.39
2026-08-14 09:00:00,86.44,27.2,114.2,82.12
2026-08-14 10:00:00,97.32,29.5,138.0,92.46
2026-08-14 11:00:00,99.51,30.6,111.5,94.54
2026-08-14 12:00:00,101.37,32.2,117.9,96.3
