timestamp,energy_kwh,temperature_c,occupancy,equipment_load_kw
2026-09-01 00:00:00,45.2,26.5,5,42.0
2026-09-01 01:00:00,41.8,25.8,2,39.5
2026-09-01 02:00:00,39.4,25.2,0,37.1
2026-09-01 03:00:00,38.1,24.8,0,36.0
2026-09-01 04:00:00,38.5,24.5,0,36.2
2026-09-01 05:00:00,40.0,24.6,2,37.5
2026-09-01 06:00:00,48.2,25.4,10,45.0
2026-09-01 07:00:00,65.0,26.8,35,60.5
2026-09-01 08:00:00,88.4,28.5,80,82.0
2026-09-01 09:00:00,115.0,30.2,140,108.0
2026-09-01 10:00:00,128.5,31.8,150,120.0
2026-09-01 11:00:00,135.0,33.0,150,126.5
2026-09-01 12:00:00,132.0,33.5,145,123.0
2026-09-01 13:00:00,125.0,34.0,130,117.0
2026-09-01 14:00:00,134.0,34.2,150,125.0
2026-09-01 15:00:00,136.5,33.8,150,128.0
2026-09-01 16:00:00,130.0,33.0,145,122.0
2026-09-01 17:00:00,118.0,31.5,120,110.0
2026-09-01 18:00:00,92.0,30.0,70,86.0
2026-09-01 19:00:00,68.0,29.0,30,63.0
2026-09-01 20:00:00,54.0,28.2,15,50.0
2026-09-01 21:00:00,48.0,27.6,8,45.0
2026-09-01 22:00:00,46.5,27.1,5,43.2
2026-09-01 23:00:00,45.8,26.8,4,42.5
